Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Antam Tbk Unit Bisnis Perta, PT","Jl. Batu Angus No. 11, Dufa-dufa, Ternate, Maluku Utara",0217891224,Website: www.antam.com,"Ferro-nickel,Gold In Lumps, Ingots Or Cast Bars,Parts Of Jewellery Of Other Precious Met","Ferro-nickel,Gold In Lumps, Ingots Or Cast Bars,Parts Of Jewellery Of Other Precious Met"
"Gane Permai Sentos, PT","Jl. Raya Bastiong Kel Bastiong Talangame, Ternate, Maluku Utara",09213111309,,Nickel Ores And Concentrates,Nickel ores and concentrates
Haltim  Mining,"Jl. Raya Desa Wailukum Rt.001 Rt/rw. 001/001,halmahera Timur, Halmahera Timur, Maluku Utara",09217812733,,Nickel Ores And Concentrates,Nickel ores and concentrates
"Pacific Ocean Fisheries, PT","Jl. Desa Buo, Buo, Loloda Selatan, Halmahera Barat, Maluku Utara",021574 0423,,"Other Fish, Smoked, Incl.fillets, Other Than Edibl","Other fish, smoked, incl.fillets, other than edibl"
"Santo Alvin Pratama, CV","Kompleks Ppn, Rt 12/03, Ternate, Maluku Utara",,,"Meat Of Tuna Loin And Skipjack, (whether Or Not Mi","Meat of tuna loin and skipjack, (whether or not mi"
"Trimegah Bangun Persada, PT","Jl. Yasin Gamsungi No. 94 Rt. 003 Rw. 002 Kel. Makassar Timur Kec. Ternate Tengah, Ternate, Maluku Utara",,,Nickel Ores And Concentrates,Nickel ores and concentrates
"Ultranesia, PT","Ds. Gosoma Kec. Tobelo, Halmahera Utara, Maluku Utara",,,Copra,Copra
