Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Air Muring, PT","Jl. Desa Air Muringrt 011/  Rw 05,bengkulu Utara, Bengkulu Utara, Bengkulu",0736345010,Website: airmuring.com,"Natural Rubber In Smoked Sheets, Rss Grade 1","Natural rubber in smoked sheets, RSS Grade 1"
"Atlas Citra Selaras, PT","Jl. Soeprapto Dalam No.30, Rt.17 Kel.betungan Kec.selebar, Bengkulu, Bengkulu",073652572,,"Other Coal,whether Or Not Pulverised But Not Agglo","Other coal,whether or not pulverised but not agglo"
"Batang Hari Bengkulu Pratama, PT","Jl. Raya Bengkulu Curup Km.15 Kec.karang Tinggi, Bengkulu, Bengkulu",0736347301,,"Technically Specified Natural Rubber (tsnr) 20,Technically Specified Natural Rubber (tsnr) 10","Technically Specified Natural Rubber (TSNR) 20,Technically Specified Natural Rubber (tsnr) 10"
"Bukit Angkasa Makmur, PT","Jl. Raya Bengkulu Curup Km.14 Kembang Seri, Bengkulu Tengah, Bengkulu",,,Technically Specified Natural Rubber (tsnr) 20,Technically Specified Natural Rubber (TSNR) 20
Eternity,"Jl. Suprapto Dalam Rt 09 Rw 06, Bengkulu, Bengkulu",073651941,,"Oth Rubber,sanded Or End Jointed&planed, Thickness,Wood Sawn/ Chipped Of A Thick > 6 Mm.of","Oth rubber,sanded or end jointed&planed, thickness,Wood Sawn/ Chipped Of A Thick > 6 Mm.of"
"Kusuma Raya Utama, PT","Jl. Re. Martadinata No. 86 Pagar Dewa, Bengkulu, Bengkulu",0213808174,,"Other Coal,whether Or Not Pulverised But Not Agglo","Other coal,whether or not pulverised but not agglo"
Selamat Group Perkasa,"Jl.  Kalimantan No. 01/02 Bengkulu, Bengkulu, Bengkulu",0736344050,,"Other Coal,whether Or Not Pulverised But Not Agglo,Anthracite","Other coal,whether or not pulverised but not agglo,Anthracite"
"Selo Moro Banyu Arto, PT","Desa Suka Menanti, Parda Suka, Kaur, Bengkulu",,,"Iron Ores And Concentrates, Other Than Roasted Iro","Iron ores and concentrates, other than roasted iro"
