Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Super Karya, CV","Rt. 015/005 Oesapa, Kupang, Nusa Tenggara Timur",,,"Other Motor Cars, > 3000 Cc,not Ckd,oth Than 4 Wd,,Other Hydraulic Cements,Carbon,oth Than Of Circular Cross- Section:","Other motor cars, > 3000 cc,not ckd,oth than 4 WD,,Other Hydraulic Cements,Carbon,oth Than Of Circular Cross- Section:"
"Surya Bahana Mahkota, PT","Jl. Timor Raya No 1 Fatubesi Kupang, Kupang, Nusa Tenggara Timur",,,"Oth Motor Car,<= 1,000 Cc,not Ckd,not 4 Wd, Intern,Oth Motor Vehicles, Non Diesel,>= 10 P, Ckd,,Oth Motor Car,no Sedan,1000-1500 Cc,not","Oth motor car,<= 1,000 cc,not ckd,not 4 WD, intern,Oth Motor Vehicles, Non Diesel,>= 10 P, Ckd,,Oth Motor Car,no Sedan,1000-1500 Cc,not"
"Surya Bahana Mohkota, PT","Jl. Timor Raya No. 1, Kel. Fatubesi - Kupang, Kupang, Nusa Tenggara Timur",,,"Oth Motor Car,<= 1,000 Cc,not Ckd,not 4 Wd, Intern","Oth motor car,<= 1,000 cc,not ckd,not 4 WD, intern"
"Surya Citra Timor, CV","Jl. Timor Raya Km.9 Rt.022/rw.008 Kelurahan Oesapa, Kupang, Nusa Tenggara Timur",,,"Females Blouses/shirts/shirt Blouses Of Oth Texti,Other Motor Cars, > 3000 Cc,not Ckd,oth Than 4,Carbon,oth Than Of Circular Cross- Section:","Females blouses/shirts/shirt blouses of oth texti,Other Motor Cars, > 3000 Cc,not Ckd,oth Than 4,Carbon,oth Than Of Circular Cross- Section:"
"Thonbers Gemilang Technologi, CV","Jl. Moh.yamin - Kel Rimbesi, Belu, Nusa Tenggara Timur",,,Other Hydraulic Cements,Other hydraulic cements
"Timor Agung, Ud.","Derok Desa Maumutin Raihat, Belu, Nusa Tenggara Timur",,,"Mineral Waters,Other Hydraulic Cements,Sparkling Mineral Waters And Aerated Waters,","Mineral waters,Other Hydraulic Cements,Sparkling Mineral Waters And Aerated Waters,"
"Timor Distrindo, PT","Jl. Moh.yamin, Kel.rinbesi, Kec.atambua Selatan, Belu, Nusa Tenggara Timur",,,"Mineral Waters,Oth Disposible Sanitary Towel, Tampons, Napkins,Waffles And Wafers","Mineral waters,Oth Disposible Sanitary Towel, Tampons, Napkins,Waffles And Wafers"
"Timor Tour & Travel, PT","Jl. Soekarno Hatta - Berdao - Atambua, Belu, Nusa Tenggara Timur",,,"Other Vehicles, 1000-1500 Cc, Not Ckd, Internal Co,Females Blouses/shirts/shirt Blouses Of Oth,Other Cloth, Grill, Netting And Fencing,  Of","Other vehicles, 1000-1500 cc, not ckd, internal co,Females Blouses/shirts/shirt Blouses Of Oth,Other Cloth, Grill, Netting And Fencing,  Of"
"Tunas Baru, CV","Jl. Diponegoro Rt 09/03 Tulamalae Atambua Belu, Belu, Nusa Tenggara Timur",,,"Other Motor Cars, > 3000 Cc, Not Ckd, 4 Wd, Diesel,Other Motor Cars, > 3000 Cc,not Ckd,oth Than 4,Motocross Motorcycles, With Recipro Int Combust","Other motor cars, > 3000 cc, not ckd, 4 WD, diesel,Other Motor Cars, > 3000 Cc,not Ckd,oth Than 4,Motocross Motorcycles, With Recipro Int Combust"
"Tunas Flamboyan, CV","Jl. Letjend Suprapto Tanah Merah Atambua Belu, Belu, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Curtains (inc Drapes) & Int Blinds/bed Valances,New Pneumatic Tyres,of Rubber Of A Kind Used On","Other hydraulic cements,Curtains (inc Drapes) & Int Blinds/bed Valances,New Pneumatic Tyres,of Rubber Of A Kind Used On"
"Tunas Mekar, Ud.","Kampung Baru Rt.15/03 - Atambua, Belu, Nusa Tenggara Timur",,,"Other Household Articles&hygienic/toilet  Articles,Kitchenware Of Cast Iron, Not Ennamelled,Oth Glassware For Table(not Drink Glass) Kitchen","Other household articles&hygienic/toilet  articles,Kitchenware Of Cast Iron, Not Ennamelled,Oth Glassware For Table(not Drink Glass) Kitchen"
"Wiliam Motor, Tk.","Jl. Banteng No. 9 Nunleu Kupang - Ntt, Kupang, Nusa Tenggara Timur",,,"New Pneumatic Tyres,of Rubber Of A Kind Used On Mo,Oth Parts And Accessories Of Vehicles Of Heading,Frame And Forks(incl. Telescopic Fork, Rear","New pneumatic tyres,of rubber of a kind used on mo,Oth Parts And Accessories Of Vehicles Of Heading,Frame And Forks(incl. Telescopic Fork, Rear"
"Zona Dewata, CV","Jl. Adam Malik Rt.018/rw.005 Atambua, Belu, Nusa Tenggara Timur",,,"Oth Wooden Furniture,oth Than Fume Cupboard,Wooden Furniture Of A Kind Used In The Bedroom,Oth Wooden Furniture,fume Cupboard","Oth wooden furniture,oth than fume cupboard,Wooden Furniture Of A Kind Used In The Bedroom,Oth Wooden Furniture,fume Cupboard"
