Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Kraton, Ud.","Jl. A Yani- Kefa Selatan Kefamenanu - Ttu, Belu, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Carbon,oth Than Of Circular Cross- Section:,Oth Mach For Assembling Cpu Daughter Board In","Other hydraulic cements,Carbon,oth Than Of Circular Cross- Section:,Oth Mach For Assembling Cpu Daughter Board In"
"Kuncup Mekar, CV","Jl. Cuk Nyak Dien Berdao Atambua - Belu, Belu, Nusa Tenggara Timur",,,"Oth Parts And Accessories Of Vehicles Of Heading 8,New Pneumatic Tyres,of Rubber Of A Kind Used On,Box Type Of Single Loudspeakers, Mounted In Their","Oth parts and accessories of vehicles of heading 8,New Pneumatic Tyres,of Rubber Of A Kind Used On,Box Type Of Single Loudspeakers, Mounted In Their"
"Laleno, CV","Jl. Timor Raya Km.t.018/rw.004, Lasiana, Kupang, Nusa Tenggara Timur",,,"Mineral Waters,Waffles And Wafers","Mineral waters,Waffles And Wafers"
"Layantara, CV","Jl. Pramuka Rt 016/ 006 Beirafu Atambua Belu, Belu, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Bumper And Parts For Other Tractors,Carbon,oth Than Of Circular Cross- Section:","Other hydraulic cements,Bumper And Parts For Other Tractors,Carbon,oth Than Of Circular Cross- Section:"
"Layantara, CV","Jl. Pramuka Rt 016/ 006 Beirafu Atambua Belu, Belu, Nusa Tenggara Timur",,,"Oth Motor Car,no Sedan,1000-1500 Cc,ckd Internal C,Reservoirs,tanks,vats & Similar Contain.","Oth motor car,no sedan,1000-1500 cc,ckd internal c,Reservoirs,tanks,vats & Similar Contain."
"Lestari Hidup Baru, Tk.","Jl. Sudirman No.11 - Atambua, Belu, Nusa Tenggara Timur",,,"Pedestrian Controlled Tractors,power <= 22.5 Kw, F","Pedestrian controlled tractors,power <= 22.5 kW, f"
"Lesupu, Ud.","Jl. Lesupu Rt. 015 / Rw. 005 Manumutin- Atambua, Belu, Nusa Tenggara Timur",,,"Mineral Waters,Carbon,oth Than Of Circular Cross- Section:,Mattress Of Other Materials","Mineral waters,Carbon,oth Than Of Circular Cross- Section:,Mattress Of Other Materials"
"Lesupu, Ud.","Lesupu Rt 15 / 05 Manumutin Atambua - Belu, Belu, Nusa Tenggara Timur",,,"Other Hydraulic Cements,Oth Medicated Prod & Oth Of Felt Or Nonwovens,,Sparkling Mineral Waters And Aerated Waters,","Other hydraulic cements,Oth Medicated Prod & Oth Of Felt Or Nonwovens,,Sparkling Mineral Waters And Aerated Waters,"
"Lima Putri, Ud.","Jl. Yos Sudarso Rt.003/rw.002 Kelurahan Alak, Kupang, Nusa Tenggara Timur",,,"Textile Fabrics, Felt & Felt-lined Woven  For Card,Fish,not Marine Fish,dried,oth Thn Edble Fish,Anchovies, Salted But Not Dried/smoked & In","Textile fabrics, felt & felt-lined woven  for card,Fish,not Marine Fish,dried,oth Thn Edble Fish,Anchovies, Salted But Not Dried/smoked & In"
"M3 Cakrawala, CV","Jl. Timor Raya  Rt 20/ 10 Oesapa, Belu, Nusa Tenggara Timur",,,"Mattress Supports,Mattress Springs Of Other Materials,Parts Of Seats Of Other Than Plastics","Mattress supports,Mattress Springs Of Other Materials,Parts Of Seats Of Other Than Plastics"
"Maestro Niaga Nusantara, CV","Jl. Timor Raya Rt.001 / Rw.001 Lasiana, Kupang, Nusa Tenggara Timur",,,"Oth Prep For Perfuming Or Deodor Rooms, Incl Odori,Ofset Printing Machinery, Sheet - Fed, Office,Stemware Drinking Glasses, Neither Glass-ceramics","Oth prep for perfuming or deodor rooms, incl odori,Ofset Printing Machinery, Sheet - Fed, Office,Stemware Drinking Glasses, Neither Glass-ceramics"
"Malinton Jaya, Ks.","Tini Rt. 04/02 Manuaman-atambua, Belu, Nusa Tenggara Timur",,,Other Hydraulic Cements,Other hydraulic cements
"Matador, CV","Jl. Pramuka Pasar Baru - Atambua, Belu, Nusa Tenggara Timur",,,"Milk&cream Of Fat_1,5%,in Solid Form, No Added Sug,Milk&cream Fat >1,5%,in Solid Form, Not Added,Oth Than Anti-acne Creams And Oth Face Or Skin","Milk&cream of fat_1,5%,in solid form, no added sug,Milk&cream Fat >1,5%,in Solid Form, Not Added,Oth Than Anti-acne Creams And Oth Face Or Skin"
"Matador, CV","Jl. Pramuka Psr. Baru-atambua, Belu, Nusa Tenggara Timur",,,"Milk&cream Of Fat_1,5%,in Solid Form, No Added Sug,Oth Disposible Sanitary Towel, Tampons, Napkins,Perfumes & Toilet Waters","Milk&cream of fat_1,5%,in solid form, no added sug,Oth Disposible Sanitary Towel, Tampons, Napkins,Perfumes & Toilet Waters"
"Mega Bintang, Ud.","Jl. Mohammad Yamin Rt.007/004,atambua-belu, Belu, Nusa Tenggara Timur",,,"Other Hydraulic Cements,New Pneumatic Tyre,of Rubber Used On,Bumper And Parts For Other Tractors","Other hydraulic cements,New Pneumatic Tyre,of Rubber Used On,Bumper And Parts For Other Tractors"
