Company Name,Address,Telephone Number,Other Data,Commodity,Business Field
"Aru Samudera Lestari, PT","Jl. Raya Mandala No.68, Mearauke, Merauke, Papua",,,"Other Fish, Not Marine Fish, Excl.fillets, Livers,Silver Pomfrets, Excl.fillets, Livers And Roes,,Savalai Hairtails, Excl.fillets, Livers And Roes,","Other fish, not marine fish, excl.fillets, livers,Silver Pomfrets, Excl.fillets, Livers And Roes,,Savalai Hairtails, Excl.fillets, Livers And Roes,"
"Biru Biak, CV","Desa Rumainum No 1, Mandala, Biak, Biak Numfor, Papua",,,"Live Marine Ornamental Fish, Other Than Fry,Koi Carp (cyprinus Carpio)","Live marine ornamental fish, other than fry,Koi Carp (cyprinus Carpio)"
"Dwi Karya Reksa Abadi, PT","Jl. Raya Mandala No.68, Merauke, Papua",,,"Other Fish, Not Marine Fish, Excl.fillets, Livers,Live Kerapu (cromilepte Altiveli; Epinephelus,Silver Pomfrets, Excl.fillets, Livers And Roes,","Other fish, not marine fish, excl.fillets, livers,Live Kerapu (cromilepte Altiveli; Epinephelus,Silver Pomfrets, Excl.fillets, Livers And Roes,"
"Sino Indonesia Shunlida, PT","Jl. Kampung Timur No. 164, 99614, Merauke, Papua",0971325215,,"Savalai Hairtails, Excl.fillets, Livers And Roes,,Other Fish, Not Marine Fish, Excl.fillets, Livers,Mangrove Red Snappers, Excl.fillets, Livers And","Savalai hairtails, excl.fillets, livers and roes,,Other Fish, Not Marine Fish, Excl.fillets, Livers,Mangrove Red Snappers, Excl.fillets, Livers And"
